Mon Feb  6 18:55:50 2023    output.dat

         35893072 function calls (34155843 primitive calls) in 13.779 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2672(_amax_dispatcher)
       35    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2677(amax)
       35    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2797(_amin_dispatcher)
       35    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2802(amin)
       35    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
       35    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amin)
       35    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:72(<dictcomp>)
       35    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:64(_make_options_dict)
       35    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:403(_get_formatdict)
       35    0.000    0.000    0.013    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
       35    0.000    0.000    0.049    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:506(wrapper)
       35    0.000    0.000    0.049    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:523(_array2string)
       35    0.000    0.000    0.050    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:561(array2string)
       35    0.000    0.000    0.036    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:780(_formatArray)
       35    0.000    0.000    0.050    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:1575(_array_str_implementation)
       35    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       35    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       35    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       35    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       35    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       24    0.000    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:410(<lambda>)
       24    0.000    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:1223(__init__)
       24    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       22    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:32(seterr)
       22    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:131(geterr)
       22    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       11    0.032    0.003    0.323    0.029 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:318(greedy_policy_array)
       11    0.274    0.025   11.496    1.045 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:224(policy_evaluation)
       11    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/_methods.py:38(_amax)
       11    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:425(__init__)
       11    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:429(__enter__)
       11    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:434(__exit__)
       11    0.000    0.000    0.012    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:411(<lambda>)
       11    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:898(_none_or_positive_arg)
       11    0.000    0.000    0.012    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:907(__init__)
       11    0.002    0.000    0.012    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:934(fillFormat)
       11    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
       10    0.002    0.000    0.004    0.000 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:332(array_to_policy)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/multiarray.py:80(empty_like)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/numeric.py:76(zeros_like)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/numeric.py:72(_zeros_like_dispatcher)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/lib/index_tricks.py:657(__init__)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/lib/index_tricks.py:665(__iter__)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:20(__init__)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:25(_maybe_view_as_subclass)
       10    0.000    0.000    0.000    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000   11.879   11.879 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:357(policy_iteration)
        1    0.000    0.000   11.879   11.879 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:390(value_iteration)
        1    0.000    0.000   13.779   13.779 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:436(run_value_iteration)
        1    0.000    0.000   13.779   13.779 {built-in method builtins.exec}
        1    1.897    1.897    1.897    1.897 {built-in method builtins.input}
        1    0.003    0.003    0.003    0.003 {built-in method posix.system}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000   13.779   13.779 <string>:1(<module>)


